Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

2     	0.0600	0.0264	26	0x1.60bab30133e05p-18	24	0x1.8f3d4bc93669dp+4	205638807	1135500449	gamma	gamma electron 
3     	0x1.eb851eb851eb9p-5	0x1.147a18835f987p-5	55	0x1.556b524e5723p-14	34	0x1.34d38f16fc83fp+4	1047309544	1489648681	e-	electron 
5     	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	69	0x1.42bb9aec0c0f7p-10	75	0x1.1205823ccf7b6p+4	194134525	1078271809	gamma	gamma electron 
6     	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	23	0x1.cc2f8d6f7cd6fp-18	30	0x1.4ed4ffeba9ed7p+4	414925450	589287905	gamma	gamma electron 
7     	0x1.eb851eb851eb9p-5	0x1.b116228134482p-6	28	0x1.0fc469ddb9e5p-17	21	0x1.70388447bd4c8p+4	1463752983	1048136128	gamma	gamma electron 
10    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91935p-6	19	0x1.0e1148c622637p-16	18	0x1.9f4a5ddcc0395p+4	1194101943	1691254098	gamma	gamma electron 
11    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	51	0x1.8eccf0fc39db6p-18	56	0x1.5c2c329d1a33p+4	1666674635	2022198404	gamma	gamma electron 
13    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	42	0x1.6bc469d346ecp-10	66	0x1.02bd7eb7362efp+4	184652536	168814102	gamma	gamma electron 
22    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ecp-5	64	0x1.c05246c5f7703p-17	49	0x1.30a0302e4bfp+4	1018652868	245061448	gamma	gamma electron 
23    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	47	0x1.9f3785fae827dp-17	50	0x1.2df1d912a4e69p+4	1494226487	40514609	gamma	gamma electron 
26    	0x1.eb851eb851eb9p-5	0x1.b00e5024db81ep-6	17	0x1.500e5ad72f0a6p-14	28	0x1.4528eae4b667cp+4	656618597	1990282795	gamma	gamma electron 
29    	0x1.eb851eb851eb9p-5	0x1.b00e5024db81cp-6	27	0x1.6aa94ed051d1cp-17	21	0x1.041dd8ce9cc57p+4	971983580	1545358378	gamma	gamma electron 
30    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	42	0x1.724c28cfbb19cp-18	20	0x1.2d620fe4c7f68p+4	694279136	625152005	gamma	gamma electron 
33    	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcap-6	31	0x1.2860c988f5c92p-17	25	0x1.87943d8ef49f5p+4	1978162324	1583043471	gamma	gamma electron 
34    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	55	0x1.907be086224abp-18	55	0x1.4b7c319a1a392p+4	1307340009	942271721	gamma	gamma electron 
39    	0x1.eb851eb851eb9p-5	0x1.b00e5024db81cp-6	28	0x1.12ef39f623965p-17	22	0x1.0cdccd950e74dp+4	1638319309	603714098	gamma	gamma electron 
41    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	49	0x1.a3164dfd5af95p-17	42	0x1.f35a6258e7bf6p+3	1605259095	780790967	gamma	gamma electron 
44    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	48	0x1.49a1aea9ebf56p-9	67	0x1.0f18ae959ca2ep+4	1407006220	478241796	gamma	gamma electron 
45    	0x1.eb851eb851eb9p-5	0x1.92c4a31217189p-5	44	0x1.9aa1b7537436fp-16	45	0x1.80d36f622810cp+4	487661888	523818791	e-	electron 
46    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	54	0x1.5e22e989f483ap-18	57	0x1.869f480f1e091p+4	1737208965	110501434	gamma	gamma electron 
47    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	55	0x1.4978f56a23331p-18	68	0x1.3c8f639334fecp+4	487969775	568551837	gamma	gamma electron 
49    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	63	0x1.e6e4da019e3e3p-18	55	0x1.6bc497cba2133p+4	1551189722	1106227912	gamma	gamma electron 
54    	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcdp-6	24	0x1.c54723e49c9d7p-18	27	0x1.319f2c14b78bcp+4	1909832281	1616471642	gamma	gamma electron 
61    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	67	0x1.61ce9268a9b52p-9	54	0x1.13e624773ce3ep+4	1185978649	1163349841	gamma	gamma electron 
62    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	49	0x1.648ba0a4ee0e7p-9	63	0x1.280e886102c41p+4	84079600	325114958	gamma	gamma electron 
64    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	49	0x1.d033473595dc6p-18	52	0x1.1ffeeffddfdbap+4	1999652639	1957672148	gamma	gamma electron 
